target_id	length	eff_length	est_counts	tpm
thrL	66	67	292	40.0939
thrA	2463	2464	5755	21.487
thrB	933	934	2027	19.9654
thrC	1287	1288	2896	20.6849
yaaX	297	298	469	14.4786
yaaA	777	778	2078	24.5718
yaaJ	1431	1432	934	6.00032
talB	954	955	52806	508.687
mog	588	589	2455	38.3448
satP	567	568	2492	40.3618
yaaW	714	715	311	4.00152
mbiA	486	487	0	0
yaaI	405	406	123	2.78708
dnaK	1917	1918	49234	236.149
dnaJ	1131	1132	12070	98.0915
insL1	1113	1114	3221.33	26.6024
mokC	210	211	675	29.4301
hokC	153	154	0	0
sokC	55	56	107	17.5779
nhaA	1167	1168	2930	23.0778
nhaR	906	907	2405	24.3937
insB1	504	505	2851.17	51.9401
insA1	276	277	632.499	21.0063
rpsT	264	265	41139	1428.16
yaaY	219	220	126	5.26888
ribF	942	943	14451	140.98
ileS	2817	2818	46728	152.548
lspA	495	496	6869	127.404
fkpB	450	451	3074	62.7044
ispH	951	952	4693	45.3507
rihC	915	916	903	9.06907
dapB	822	823	2987	33.3892
carA	1149	1150	12173	97.3801
carB	3222	3223	12148	34.6749
caiF	396	397	150	3.47593
caiE	591	592	143	2.22221
caiD	786	787	141	1.64822
caiC	1554	1555	476	2.81609
caiB	1218	1219	481	3.63004
caiA	1143	1144	1073	8.62867
caiT	1515	1516	144	0.873844
fixA	771	772	60.5793	0.7219
fixB	942	943	84	0.819479
fixC	1287	1288	138	0.985675
fixX	288	289	9	0.286494
yaaU	1332	1333	235	1.62184
kefF	531	532	626	10.8251
kefC	1863	1864	1301	6.42099
folA	480	481	17174	328.471
apaH	843	844	8004	87.2439
apaG	378	379	2192	53.2074
rsmA	822	823	6713	75.039
pdxA	990	991	7751	71.9539
surA	1287	1288	18917	135.116
lptD	2355	2356	24285	94.8273
djlA	816	817	2781	31.3148
yabP	651	652	1127	15.9018
yabQ	159	160	240	13.7994
rluA	660	661	1057	14.7111
rapA	2907	2908	4859	15.3717
polB	2352	2353	2217	8.66791
araD	696	697	119	1.57067
araA	1503	1504	506	3.09509
araB	1701	1702	402	2.17289
araC	879	880	1683	17.5943
yabI	765	766	5187	62.2957
thiQ	699	700	1746	22.9465
thiP	1611	1612	4665	26.623
thiB	984	985	5569	52.0129
sroA	93	94	174	17.0291
sgrR	1656	1657	1560	8.66109
sgrS	227	228	491	19.8115
sgrT	132	133	0	0
setA	1179	1180	1953	15.2262
leuD	606	607	1110	16.823
leuC	1401	1402	1574	10.3283
leuB	1092	1093	1132	9.52789
leuA	1572	1573	1098	6.42161
leuL	87	88	81	8.46784
leuO	945	946	342	3.32587
yabR	45	46	2	0.399984
ilvI	1725	1726	1005	5.35668
ilvH	492	493	240	4.47852
cra	1005	1006	3452	31.5677
mraZ	459	460	7454	149.074
rsmH	942	943	5941	57.9587
ftsL	366	367	1308	32.7878
ftsI	1767	1768	4810	25.0284
murE	1488	1489	5314	32.832
murF	1359	1360	4456	30.1423
mraY	1083	1084	2569	21.8024
murD	1317	1318	3574	24.9465
ftsW	1245	1246	2617	19.3222
murG	1068	1069	4395	37.8226
